next
take medicine
come
take off
show
watch TV
pen
a lot of
January
three times
wife
husband
always
how often
have dinner
Spain
study
laundry
climb
make a phone call
kid
scooter
surf the internet
pencil
last
bottle
a little
There is
Friday
Saturday
July
what
living
quarter
these
car
September
once
when
Christmas
manager
birthday
road
airplane
school
street
desk
where
on
at
MRT station
in
in front of
above
happy
who
teacher
brother
girlfriend
admire
why
because
home
classroom
friendly
intelligent
handsome
interesting
pretty
bored
stupid
clever
sad
wise
generous
smart
boring
basketball
assistant
student
accountant
salesman
housewife
father
boyfriend
colleague
sister
mother
boss
some
work
table
Monday
Wednesday
Tuesday
Thursday
Sunday
afternoon
noon
today
evening
morning
night
March
February
May
August
June
November
December
October
April
month
twice
cell phone
book
cup
how
often
seldom
never
sometimes
usually
rarely
year
little
lots of
a few
the day after tomorrow
want
classroom
tomorrow
yesterday
play
much
many
this
week
those
that
few
golf
o'clock
dislike
enjoy
hate
like
love
bus
farm
roof
ground
floor
wall
kitchen
living room
bathroom
bedroom
listen to 
championship
letter
novel
leadership
membership
scuba diving
bank
post office
police station
night market
store
super market
office
